"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico_W","","","","Module:RaspberryPi_Pico_W_SMD_HandSolder","https://datasheets.raspberrypi.com/picow/pico-w-datasheet.pdf"
"C_3V3,C_BAT1","2","100uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C_3V3_bypass1,C_5V_bypass1","2","100nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C_5V1","1","100uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"D1","1","SS14","","","","Diode_SMD:D_SMA",""
"J_BAT1","1","Conn_01x02_Socket","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",""
"J_DBG1","1","Conn_01x03_Pin","","","","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical",""
"J_EXT1","1","Conn_01x08_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"J_SRV1,J_SRV2","2","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"L1","1","4.7uH","","","","Inductor_SMD:L_Taiyo-Yuden_NR-30xx",""
"LED_CHG1","1","LED","","","","LED_SMD:LED_0603_1608Metric",""
"MCP73831","1","","","","","Package_TO_SOT_SMD:SOT-23-5",""
"MT3608","1","","","","","Package_TO_SOT_SMD:SOT-23-6",""
"R_FB1","1","100k","","","","Resistor_SMD:R_0402_1005Metric",""
"R_FB2","1","36k","","","","Resistor_SMD:R_0402_1005Metric",""
"R_LED1","1","1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R_PROG1","1","2k","","","","Resistor_SMD:R_0402_1005Metric",""
"R_SRV1,R_SRV2","2","47","","","","Resistor_SMD:R_0402_1005Metric",""
"SW1","1","SW_SPDT","","","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q",""
